epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6778,0.5245,3.25167,1.8191,0.31229,1.0767,0.99538,1,0.995,0.98954,0.99538,1,0.995,0.995,0.29316,2.01078,0.60534,0.24083,0.93326,0.000653333,0.000653333,0.000653333
2,67.2189,0.60381,3.74278,2.38913,0.37509,1.15191,1,1,0.995,0.98379,1,1,0.995,0.9684,0.30967,4.16403,0.74094,0.25108,0.97333,0.00130693,0.00130693,0.00130693
3,87.2215,0.59065,4.53062,2.29945,0.35462,1.14158,0.99513,1,0.995,0.995,0.99513,1,0.995,0.995,0.35397,2.84989,0.80559,0.31327,1.04114,0.00194733,0.00194733,0.00194733
4,107.101,0.65621,5.43618,2.02903,0.40621,1.22037,0.995,1,0.995,0.97442,0.995,1,0.995,0.91527,0.33109,4.15268,0.64991,0.368,1.01841,0.0019406,0.0019406,0.0019406
5,126.883,0.64048,4.05955,2.47115,0.39496,1.20841,0.99518,1,0.995,0.99013,0.99518,1,0.995,0.96138,0.33534,4.43323,0.86714,0.29775,1.02234,0.0019208,0.0019208,0.0019208
6,146.62,0.61847,4.1459,2.05075,0.36419,1.19569,0.99501,1,0.995,0.98085,0.99501,1,0.995,0.98825,0.35463,2.36125,0.97595,0.25193,1.04481,0.001901,0.001901,0.001901
7,166.467,0.6303,4.07871,2.29753,0.37647,1.19916,0.99467,1,0.995,0.96002,0.99467,1,0.995,0.92867,0.36921,5.26326,1.09086,0.31328,1.13443,0.0018812,0.0018812,0.0018812
8,186.662,0.5743,4.12169,1.92146,0.3507,1.14122,0.99544,1,0.995,0.95464,0.99544,1,0.995,0.995,0.36773,2.16231,0.94545,0.23935,1.07838,0.0018614,0.0018614,0.0018614
9,206.675,0.59521,3.55298,2.06634,0.36195,1.15116,1,1,0.995,0.95497,1,1,0.995,0.98559,0.35377,2.58087,0.70045,0.31014,1.03699,0.0018416,0.0018416,0.0018416
10,226.597,0.59707,3.62686,2.22261,0.36148,1.18424,1,1,0.995,0.9775,1,1,0.995,0.995,0.34332,2.18427,0.88133,0.2646,1.01226,0.0018218,0.0018218,0.0018218
11,246.634,0.61336,4.55887,1.97564,0.37962,1.18659,1,1,0.995,0.97608,1,1,0.995,0.96515,0.43688,4.00654,1.26288,0.2923,1.15187,0.001802,0.001802,0.001802
12,266.631,0.63674,4.25955,2.05978,0.38697,1.18808,1,1,0.995,0.95446,1,1,0.995,0.96834,0.35826,2.79048,0.88802,0.25934,1.0577,0.0017822,0.0017822,0.0017822
13,286.554,0.5968,3.36024,2.19914,0.36301,1.1515,1,1,0.995,0.94853,1,1,0.995,0.97929,0.3173,3.13982,0.7741,0.25093,1.01622,0.0017624,0.0017624,0.0017624
14,306.382,0.59438,3.58551,2.13632,0.35939,1.12632,1,1,0.995,0.96728,1,1,0.995,0.995,0.30728,1.56248,0.78601,0.26284,0.98881,0.0017426,0.0017426,0.0017426
15,326.255,0.6051,3.35286,2.47638,0.35319,1.15507,0.99529,1,0.995,0.97991,0.99529,1,0.995,0.98817,0.3279,3.29246,0.74542,0.243,1.05133,0.0017228,0.0017228,0.0017228
16,346.444,0.54109,3.7779,1.73754,0.34625,1.16673,0.995,1,0.995,0.9515,0.995,1,0.995,0.995,0.40895,1.72523,0.87774,0.32257,1.17751,0.001703,0.001703,0.001703
17,366.211,0.54129,3.31456,1.92873,0.33578,1.11475,1,1,0.995,0.98314,1,1,0.995,0.995,0.29071,1.88598,0.84195,0.25453,1.03434,0.0016832,0.0016832,0.0016832
18,386.101,0.6048,3.19851,2.29367,0.36229,1.14587,1,1,0.995,0.98106,1,1,0.995,0.95955,0.32401,2.55944,0.77697,0.26678,0.99063,0.0016634,0.0016634,0.0016634
19,406.1,0.58247,3.40461,2.11775,0.36143,1.13841,0.99515,1,0.995,0.95555,0.99515,1,0.995,0.995,0.31837,1.95199,0.69515,0.25518,0.99584,0.0016436,0.0016436,0.0016436
20,426.084,0.56833,3.02711,1.91696,0.3371,1.12015,0.99472,1,0.995,0.92951,0.99472,1,0.995,0.98664,0.3573,2.67852,0.51624,0.27236,1.0193,0.0016238,0.0016238,0.0016238
21,446.121,0.62781,3.44113,2.62166,0.3661,1.17341,0.99468,1,0.995,0.96754,0.99468,1,0.995,0.98847,0.35969,3.42371,1.05569,0.26538,1.07877,0.001604,0.001604,0.001604
22,466.043,0.64182,3.72971,2.33765,0.39281,1.16905,0.995,1,0.995,0.96868,0.995,1,0.995,0.995,0.31635,1.50084,0.8413,0.28047,1.02238,0.0015842,0.0015842,0.0015842
23,486.137,0.5819,2.75427,2.06807,0.35771,1.1054,1,1,0.995,0.93499,1,1,0.995,0.995,0.32577,2.06475,0.70509,0.24258,1.00772,0.0015644,0.0015644,0.0015644
24,506.261,0.62052,3.08968,2.56407,0.3744,1.19816,1,1,0.995,0.96335,1,1,0.995,0.995,0.34083,1.74086,0.49537,0.26838,0.9788,0.0015446,0.0015446,0.0015446
25,526.309,0.59027,3.18334,2.1285,0.36957,1.1116,0.99543,1,0.995,0.97842,0.99543,1,0.995,0.98931,0.37323,2.20671,0.7829,0.3221,1.02594,0.0015248,0.0015248,0.0015248
26,546.325,0.59623,2.73631,2.2643,0.34925,1.13975,1,1,0.995,0.995,1,1,0.995,0.995,0.29434,1.68429,0.98439,0.2257,0.9441,0.001505,0.001505,0.001505
27,566.565,0.54728,2.47544,2.18496,0.32849,1.11132,1,1,0.995,0.995,1,1,0.995,0.995,0.2716,1.58975,0.82355,0.21544,0.95347,0.0014852,0.0014852,0.0014852
28,587.019,0.57988,2.48471,2.25513,0.33469,1.12611,1,1,0.995,0.93537,1,1,0.995,0.995,0.3584,1.30387,0.68389,0.23112,1.01973,0.0014654,0.0014654,0.0014654
29,607.253,0.58671,2.35388,2.38777,0.33772,1.12756,1,1,0.995,0.97319,1,1,0.995,0.995,0.2931,1.54004,0.72777,0.20465,0.9803,0.0014456,0.0014456,0.0014456
30,627.44,0.5725,2.47409,2.19642,0.33915,1.13464,1,1,0.995,0.982,1,1,0.995,0.995,0.31085,1.51894,0.94858,0.23987,1.01537,0.0014258,0.0014258,0.0014258
31,647.503,0.58023,2.61956,2.49905,0.33613,1.15595,1,1,0.995,0.96737,1,1,0.995,0.995,0.33224,1.64398,0.85024,0.21924,1.01932,0.001406,0.001406,0.001406
32,667.659,0.57471,2.75153,2.22804,0.34061,1.11573,1,1,0.995,0.95365,1,1,0.995,0.995,0.34415,1.94963,0.71051,0.2299,1.00606,0.0013862,0.0013862,0.0013862
33,687.922,0.5793,2.47578,2.25983,0.33674,1.1085,1,1,0.995,0.98469,1,1,0.995,0.995,0.29838,1.54812,0.70796,0.22248,0.99976,0.0013664,0.0013664,0.0013664
