epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8577,0.52897,2.57103,1.24107,0.31212,1.08844,1,1,0.995,0.9612,1,1,0.995,0.995,0.41006,1.57815,0.41581,0.26341,1.07968,0.000653333,0.000653333,0.000653333
2,35.3962,0.62944,3.05622,1.56381,0.36345,1.18269,0.99499,1,0.995,0.95541,0.99499,1,0.995,0.995,0.32779,2.09661,0.59256,0.23475,0.97517,0.00130693,0.00130693,0.00130693
3,51.3025,0.58369,3.26152,1.5148,0.34763,1.13273,0.99491,1,0.995,0.95547,0.99491,1,0.995,0.96153,0.34671,5.79916,0.41339,0.28171,1.01195,0.00194733,0.00194733,0.00194733
4,67.2188,0.59064,4.19641,1.33033,0.36881,1.15504,0.9951,1,0.995,0.93617,0.9951,1,0.995,0.98275,0.36819,2.43478,0.47485,0.29272,1.12001,0.0019406,0.0019406,0.0019406
5,84.0338,0.68017,5.16659,1.75217,0.37363,1.23868,0.99504,1,0.995,0.90323,0.99504,1,0.995,0.96963,0.43369,3.51709,0.42108,0.32174,1.13378,0.0019208,0.0019208,0.0019208
6,102.555,0.62694,4.99222,1.36845,0.36884,1.22079,0.9921,1,0.995,0.94469,0.9921,1,0.995,0.995,0.3787,2.15338,0.40512,0.26618,1.04503,0.001901,0.001901,0.001901
7,118.521,0.60958,4.30108,1.52531,0.3564,1.21445,0.99539,1,0.995,0.98981,0.99539,1,0.995,0.995,0.30501,2.33917,0.56867,0.24317,1.00425,0.0018812,0.0018812,0.0018812
8,134.426,0.53941,3.73231,1.30762,0.33688,1.11128,0.99525,1,0.995,0.98351,0.99525,1,0.995,0.995,0.34519,2.3296,0.73506,0.24845,1.04546,0.0018614,0.0018614,0.0018614
9,153.884,0.57714,3.50808,1.39148,0.35023,1.13574,0.99498,1,0.995,0.98848,0.99498,1,0.995,0.98084,0.29388,3.64728,0.61448,0.25238,0.97286,0.0018416,0.0018416,0.0018416
10,174.231,0.5636,3.39319,1.45106,0.36573,1.13487,0.99082,1,0.995,0.96811,0.99082,1,0.995,0.995,0.33153,1.4996,0.52381,0.29147,1.00083,0.0018218,0.0018218,0.0018218
11,194.264,0.5599,3.26987,1.30701,0.35242,1.14059,0.99532,1,0.995,0.97901,0.99532,1,0.995,0.98981,0.31668,1.99188,0.43659,0.24217,0.98577,0.001802,0.001802,0.001802
12,213.319,0.59641,3.33264,1.40545,0.3496,1.14181,1,1,0.995,0.95117,1,1,0.995,0.995,0.32521,2.34816,0.34879,0.24929,0.97114,0.0017822,0.0017822,0.0017822
13,229.331,0.59291,3.07032,1.47865,0.35613,1.13109,0.99521,1,0.995,0.995,0.99521,1,0.995,0.995,0.27754,1.7192,0.39323,0.21274,0.96338,0.0017624,0.0017624,0.0017624
14,245.529,0.5632,3.00775,1.40635,0.34045,1.08582,0.9954,1,0.995,0.98358,0.9954,1,0.995,0.995,0.32145,1.7328,0.41967,0.23758,1.0151,0.0017426,0.0017426,0.0017426
15,263.541,0.5984,2.75057,1.65442,0.34788,1.14199,1,1,0.995,0.95654,1,1,0.995,0.995,0.32477,1.66704,0.46908,0.24905,1.00615,0.0017228,0.0017228,0.0017228
16,281.318,0.5267,3.86431,1.14602,0.33458,1.13942,1,1,0.995,0.9375,1,1,0.995,0.995,0.33995,1.86382,0.46543,0.23423,1.00346,0.001703,0.001703,0.001703
17,297.002,0.52754,2.5513,1.29332,0.32447,1.06815,1,1,0.995,0.92527,1,1,0.995,0.97654,0.53891,3.98565,0.40508,0.4189,1.28646,0.0016832,0.0016832,0.0016832
18,312.417,0.59477,2.77344,1.5115,0.3528,1.12631,0.9876,1,0.995,0.96552,0.9876,1,0.995,0.9442,0.32515,3.76161,0.39282,0.25347,0.98751,0.0016634,0.0016634,0.0016634
19,327.548,0.55803,2.70617,1.42837,0.33642,1.11742,1,1,0.995,0.9775,1,1,0.995,0.995,0.29053,1.45894,0.46128,0.23368,0.9771,0.0016436,0.0016436,0.0016436
20,343.803,0.55537,2.56785,1.27529,0.3288,1.11233,1,1,0.995,0.95161,1,1,0.995,0.995,0.35798,1.82213,0.39146,0.24343,1.00986,0.0016238,0.0016238,0.0016238
21,360.522,0.60604,2.39646,1.69501,0.3463,1.15025,1,1,0.995,0.995,1,1,0.995,0.995,0.28718,1.52785,0.49117,0.22915,0.95271,0.001604,0.001604,0.001604
22,376.856,0.56598,2.43992,1.54141,0.33568,1.09456,0.99524,1,0.995,0.95874,0.99524,1,0.995,0.995,0.33525,1.77356,0.47793,0.23777,0.99345,0.0015842,0.0015842,0.0015842
23,393.527,0.57217,2.3151,1.4083,0.33458,1.08548,0.99547,1,0.995,0.98125,0.99547,1,0.995,0.995,0.3039,1.52988,0.54873,0.23509,1.00081,0.0015644,0.0015644,0.0015644
24,409.857,0.59156,2.26773,1.64077,0.34401,1.15876,0.99521,1,0.995,0.995,0.99521,1,0.995,0.995,0.26409,1.3835,0.49991,0.22878,0.93976,0.0015446,0.0015446,0.0015446
25,427.135,0.55086,2.23282,1.41809,0.33094,1.06054,0.99541,1,0.995,0.98981,0.99541,1,0.995,0.995,0.32335,1.53195,0.52009,0.22854,0.96269,0.0015248,0.0015248,0.0015248
26,445.314,0.59695,2.28807,1.532,0.34681,1.13012,1,1,0.995,0.92241,1,1,0.995,0.995,0.36401,1.39824,0.45463,0.2201,0.99322,0.001505,0.001505,0.001505
27,464.564,0.54769,2.16822,1.45478,0.33008,1.1044,1,1,0.995,0.98805,1,1,0.995,0.995,0.26674,1.49916,0.51399,0.20028,0.95571,0.0014852,0.0014852,0.0014852
28,484.445,0.56998,2.13588,1.48747,0.33489,1.12159,1,1,0.995,0.92856,1,1,0.995,0.995,0.45301,1.1933,0.45204,0.28945,1.12077,0.0014654,0.0014654,0.0014654
29,502.285,0.56329,2.01916,1.57309,0.33545,1.09783,1,1,0.995,0.95754,1,1,0.995,0.995,0.28401,1.14938,0.44,0.23092,0.9378,0.0014456,0.0014456,0.0014456
30,518.111,0.53196,2.21869,1.45853,0.33514,1.08655,0.99533,1,0.995,0.995,0.99533,1,0.995,0.995,0.27867,1.28482,0.51891,0.22355,0.95667,0.0014258,0.0014258,0.0014258
31,533.834,0.56927,2.358,1.69357,0.34454,1.13303,0.9953,1,0.995,0.97153,0.9953,1,0.995,0.98408,0.3333,2.46769,0.61196,0.23401,1.00613,0.001406,0.001406,0.001406
32,549.522,0.56323,2.38426,1.46847,0.33963,1.08766,1,1,0.995,0.97308,1,1,0.995,0.995,0.32401,1.46071,0.57502,0.23994,0.9781,0.0013862,0.0013862,0.0013862
33,568.63,0.57995,2.32712,1.52482,0.33861,1.10188,1,1,0.995,0.92162,1,1,0.995,0.995,0.34399,1.50389,0.4779,0.23401,1.0027,0.0013664,0.0013664,0.0013664
34,587.89,0.59413,2.73493,1.52294,0.34359,1.10696,1,1,0.995,0.9811,1,1,0.995,0.995,0.30244,1.7229,0.62651,0.22982,1.00918,0.0013466,0.0013466,0.0013466
35,607.542,0.50857,2.03841,1.36681,0.30947,1.08164,0.99533,1,0.995,0.97553,0.99533,1,0.995,0.995,0.29204,1.41246,0.49191,0.21099,0.93936,0.0013268,0.0013268,0.0013268
36,624.286,0.57392,2.0606,1.6996,0.33665,1.0952,1,1,0.995,0.995,1,1,0.995,0.995,0.27823,1.20095,0.49822,0.21427,0.92064,0.001307,0.001307,0.001307
37,642.305,0.5338,1.87088,1.33104,0.31785,1.09018,1,1,0.995,0.98968,1,1,0.995,0.995,0.2764,1.7072,0.53047,0.21546,0.94766,0.0012872,0.0012872,0.0012872
