epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,612.899,0.74014,7.23966,1.7778,0.4281,1.36441,1,1,0.995,0.93315,1,1,0.995,0.89114,0.42111,3.86126,0.62845,0.30932,1.17503,0.0016304,0.0016304,0.0016304
30,632.045,0.70788,6.63207,1.64364,0.43223,1.34093,0.99512,1,0.995,0.90846,0.99512,1,0.995,0.88292,0.43973,4.16627,0.65542,0.31207,1.20857,0.0016172,0.0016172,0.0016172
31,648.121,0.70844,5.96444,1.82243,0.43278,1.36196,0.99514,1,0.995,0.91241,0.99514,1,0.995,0.90379,0.459,3.99989,0.70685,0.35,1.21917,0.001604,0.001604,0.001604
32,663.879,0.71715,5.78336,1.73827,0.43294,1.33346,0.99513,1,0.995,0.96984,0.99513,1,0.995,0.92241,0.40279,3.5564,0.67474,0.30778,1.15994,0.0015908,0.0015908,0.0015908
33,679.746,0.70044,5.27633,1.69488,0.40428,1.31712,0.99532,1,0.995,0.9261,0.99532,1,0.995,0.84973,0.41231,5.05801,0.49386,0.30184,1.15549,0.0015776,0.0015776,0.0015776
34,695.633,0.71095,5.11262,1.69333,0.42267,1.30239,1,1,0.995,0.92477,1,1,0.995,0.91165,0.41516,3.68126,0.50513,0.28299,1.17489,0.0015644,0.0015644,0.0015644
35,712.274,0.62934,4.82368,1.52164,0.38856,1.28464,1,1,0.995,0.9502,1,1,0.995,0.96687,0.38051,2.77788,0.51779,0.282,1.0986,0.0015512,0.0015512,0.0015512
36,728.973,0.7116,4.64386,1.75892,0.40857,1.30406,1,1,0.995,0.90434,1,1,0.995,0.90937,0.49548,3.66307,0.61905,0.36415,1.24683,0.001538,0.001538,0.001538
37,745.845,0.69729,4.61953,1.49249,0.39643,1.31329,0.99514,1,0.995,0.91098,0.99514,1,0.995,0.90148,0.47871,3.88068,0.6201,0.33289,1.24016,0.0015248,0.0015248,0.0015248
38,762.457,0.70035,4.52237,1.69088,0.40583,1.27084,0.99496,1,0.995,0.95259,0.99496,1,0.995,0.92578,0.40935,3.65886,0.62867,0.31064,1.15767,0.0015116,0.0015116,0.0015116
39,778.682,0.67173,4.44376,1.47965,0.39944,1.30846,0.99504,1,0.995,0.91902,0.99504,1,0.995,0.94167,0.46828,2.97043,0.63195,0.30934,1.22663,0.0014984,0.0014984,0.0014984
40,794.774,0.67909,4.40591,1.63348,0.39818,1.26418,0.99511,1,0.995,0.93911,0.99511,1,0.995,0.93944,0.3444,2.83247,0.54585,0.28368,1.10139,0.0014852,0.0014852,0.0014852
41,810.956,0.72869,4.55281,1.72498,0.41119,1.32438,0.99517,1,0.995,0.92753,0.99517,1,0.995,0.91177,0.43022,3.51191,0.49494,0.27296,1.17252,0.001472,0.001472,0.001472
42,826.791,0.63344,4.89631,1.32886,0.38477,1.24605,1,1,0.995,0.91361,1,1,0.995,0.87853,0.41225,4.20195,0.44645,0.26364,1.14628,0.0014588,0.0014588,0.0014588
43,842.689,0.66587,5.25012,1.67122,0.40812,1.26681,1,1,0.995,0.97118,1,1,0.995,0.91213,0.439,3.72015,0.55444,0.31095,1.18683,0.0014456,0.0014456,0.0014456
44,860.517,0.68686,4.7268,1.7805,0.40102,1.28432,1,1,0.995,0.95042,1,1,0.995,0.8698,0.35129,4.6363,0.60485,0.27505,1.0755,0.0014324,0.0014324,0.0014324
45,876.402,0.65427,4.26335,1.44517,0.39162,1.23287,1,1,0.995,0.92324,1,1,0.995,0.96404,0.43215,3.07951,0.57141,0.28221,1.18093,0.0014192,0.0014192,0.0014192
46,891.971,0.62941,4.1482,1.54111,0.36295,1.24945,0.99503,1,0.995,0.90586,0.99503,1,0.995,0.90458,0.43487,3.86119,0.49995,0.30166,1.18728,0.001406,0.001406,0.001406
47,907.686,0.67111,4.14011,1.65281,0.39428,1.30512,0.995,1,0.995,0.92228,0.995,1,0.995,0.89464,0.38954,3.832,0.63621,0.27384,1.11546,0.0013928,0.0013928,0.0013928
48,923.352,0.66242,4.0575,1.51438,0.38127,1.24559,1,1,0.995,0.91495,1,1,0.995,0.94668,0.42468,3.12838,0.66364,0.27425,1.13705,0.0013796,0.0013796,0.0013796
49,939.147,0.64623,3.89402,1.51575,0.38302,1.26021,0.99486,1,0.995,0.95461,0.99486,1,0.995,0.92957,0.49482,3.0332,0.60686,0.33652,1.24953,0.0013664,0.0013664,0.0013664
50,955.76,0.64474,4.05609,1.45324,0.39032,1.27069,0.99527,1,0.995,0.92228,0.99527,1,0.995,0.93974,0.41107,3.09719,0.39118,0.28637,1.13903,0.0013532,0.0013532,0.0013532
51,972.369,0.72699,4.20661,1.79102,0.41392,1.33126,0.99444,1,0.995,0.9068,0.99444,1,0.995,0.89889,0.42344,4.22507,0.4448,0.33601,1.14377,0.00134,0.00134,0.00134
52,988.806,0.66537,4.44972,1.39765,0.40828,1.28173,0.99324,1,0.995,0.91299,0.99324,1,0.995,0.89779,0.4387,3.52866,0.49589,0.31992,1.15149,0.0013268,0.0013268,0.0013268
53,1005.33,0.64598,4.35966,1.39022,0.3847,1.22397,0.99507,1,0.995,0.96784,0.99507,1,0.995,0.90365,0.38858,3.41577,0.41692,0.26109,1.12017,0.0013136,0.0013136,0.0013136
54,1021.35,0.65147,4.09701,1.55196,0.38562,1.22142,1,1,0.995,0.98379,1,1,0.995,0.93627,0.35392,3.44998,0.45528,0.287,1.10858,0.0013004,0.0013004,0.0013004
55,1037.32,0.56791,3.88395,1.31584,0.36896,1.15114,1,1,0.995,0.9609,1,1,0.995,0.9285,0.36234,3.29476,0.43238,0.27774,1.09181,0.0012872,0.0012872,0.0012872
56,1053.3,0.59051,3.82947,1.32108,0.36127,1.20417,0.99075,1,0.995,0.97489,0.99075,1,0.995,0.94677,0.33746,3.13524,0.48487,0.25997,1.05712,0.001274,0.001274,0.001274
57,1069.31,0.65709,3.88271,1.46929,0.38563,1.28923,0.99484,1,0.995,0.9681,0.99484,1,0.995,0.95047,0.36933,3.27386,0.41542,0.32899,1.05853,0.0012608,0.0012608,0.0012608
58,1085.12,0.63601,3.60016,1.49659,0.3694,1.20521,1,1,0.995,0.93063,1,1,0.995,0.9375,0.40107,3.09133,0.35179,0.25822,1.11331,0.0012476,0.0012476,0.0012476
59,1100.92,0.64346,3.79542,1.52797,0.38723,1.216,0.99511,1,0.995,0.97653,0.99511,1,0.995,0.90042,0.35403,3.73297,0.44229,0.27517,1.07452,0.0012344,0.0012344,0.0012344
