epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,21817.5,0.51534,1.87164,1.33961,0.31594,1.06202,0.99803,1,0.995,0.97029,0.99803,1,0.995,0.995,0.30058,1.37031,0.43655,0.22009,1.03351,0.0008152,0.0008152,0.0008152
30,22532.9,0.51194,1.80707,1.27788,0.32672,1.06817,0.99805,1,0.995,0.98549,0.99805,1,0.995,0.98685,0.25825,2.02378,0.50873,0.22869,1.03046,0.0008086,0.0008086,0.0008086
31,23304.3,0.52526,1.67172,1.47714,0.32218,1.0827,0.9975,1,0.995,0.95692,0.9975,1,0.995,0.98276,0.28622,1.17285,0.44575,0.21605,1.01473,0.000802,0.000802,0.000802
32,24035.3,0.51457,1.51042,1.41085,0.31683,1.05504,0.99796,1,0.995,0.98238,0.99796,1,0.995,0.995,0.25318,1.29114,0.38521,0.22359,1.01017,0.0007954,0.0007954,0.0007954
33,24785.6,0.50185,1.59927,1.44293,0.30616,1.03496,1,1,0.995,0.99356,1,1,0.995,0.99341,0.24358,1.06287,0.41559,0.21979,0.98022,0.0007888,0.0007888,0.0007888
34,25472.2,0.52396,1.5746,1.54567,0.32293,1.07039,0.99783,1,0.995,0.97746,0.99783,1,0.995,0.98831,0.29887,1.11059,0.46966,0.22276,1.00326,0.0007822,0.0007822,0.0007822
35,26269.6,0.49729,1.57038,1.43519,0.31201,1.03926,1,1,0.995,0.98043,1,1,0.995,0.995,0.26687,1.13669,0.4655,0.22065,0.98227,0.0007756,0.0007756,0.0007756
36,26962.7,0.48991,1.47898,1.42846,0.29847,1.03456,1,1,0.995,0.98408,1,1,0.995,0.995,0.26121,0.94397,0.46699,0.19738,0.99954,0.000769,0.000769,0.000769
37,27727.6,0.49959,1.43683,1.37926,0.30233,1.0315,0.99805,1,0.995,0.99336,0.99805,1,0.995,0.995,0.25827,1.16889,0.45263,0.21589,0.97777,0.0007624,0.0007624,0.0007624
38,28431.4,0.48187,1.35466,1.45994,0.3039,1.03406,0.99801,1,0.995,0.98285,0.99801,1,0.995,0.995,0.24954,0.9844,0.4103,0.20801,0.95885,0.0007558,0.0007558,0.0007558
39,29233.9,0.46992,1.3357,1.35283,0.29033,1.00766,0.99799,1,0.995,0.99062,0.99799,1,0.995,0.995,0.23465,0.92677,0.39115,0.2023,0.95456,0.0007492,0.0007492,0.0007492
40,29941.3,0.45296,1.2441,1.32757,0.27931,0.98988,0.99797,1,0.995,0.9934,0.99797,1,0.995,0.995,0.24518,0.81987,0.42882,0.19848,0.96055,0.0007426,0.0007426,0.0007426
41,30745.6,0.45807,1.23442,1.25142,0.28093,0.98491,0.99804,1,0.995,0.99269,0.99804,1,0.995,0.995,0.24886,0.81156,0.35699,0.1957,0.95635,0.000736,0.000736,0.000736
42,31429.3,0.47435,1.22051,1.33006,0.29551,1.02372,0.99801,1,0.995,0.98701,0.99801,1,0.995,0.995,0.25262,0.80305,0.32738,0.20093,0.95052,0.0007294,0.0007294,0.0007294
43,32168.6,0.48184,1.205,1.31617,0.29173,1.02,0.99795,1,0.995,0.98873,0.99795,1,0.995,0.995,0.22792,1.15578,0.39246,0.18997,0.93129,0.0007228,0.0007228,0.0007228
44,32874.5,0.46477,1.2529,1.33822,0.29196,1.0053,1,1,0.995,0.99356,1,1,0.995,0.995,0.2351,0.93408,0.41559,0.18835,0.9467,0.0007162,0.0007162,0.0007162
